Unnamed: 0,attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,activity
0,0.086504,-1.172129,1.18166,0.033538,0.921579,-0.386739,1.4619739999999999,-4.623707,1.674768,-0.067855,-0.048792,0.41306099999999996,downstairs
1,0.059453999999999986,-1.146609,1.2482540000000002,0.024456,0.911373,-0.41085299999999997,0.969699,-4.170838,1.271234,-0.16028900000000001,-0.187298,0.645487,downstairs
2,0.029338999999999997,-1.13004,1.2951139999999999,0.012515,0.904429,-0.42644,0.704113,-3.355548,0.880569,-0.2177,-0.26209499999999997,0.58739,downstairs
3,-0.00434,-1.119799,1.327633,-0.0018920000000000002,0.900013,-0.43586,0.353412,-3.073109,0.617112,-0.186981,-0.20799600000000001,0.391212,downstairs
4,-0.041066000000000005,-1.118417,1.3512620000000002,-0.017945,0.89941,-0.436738,-0.076783,-2.783454,0.48234399999999994,-0.15376199999999998,-0.193431,0.4648600000000001,downstairs
5,-0.076909,-1.124464,1.369579,-0.033166,0.9020360000000001,-0.430384,-0.391939,-2.5155830000000003,0.367636,-0.104941,-0.233198,0.4762520000000001,downstairs
6,-0.11213499999999996,-1.137261,1.3814739999999999,-0.047007,0.907486,-0.417444,-0.751645,-2.153957,0.288817,-0.053396000000000006,-0.290161,0.366342,downstairs
7,-0.145242,-1.157572,1.386993,-0.058119000000000004,0.915831,-0.397336,-1.1496,-1.7527990000000002,0.213952,-1.7e-05,-0.263808,0.258603,downstairs
8,-0.18075,-1.18569,1.381939,-0.067531,0.926759,-0.36953800000000003,-1.538997,-1.4206159999999999,0.064459,0.025554,-0.25676,0.203202,downstairs
9,-0.22751100000000002,-1.219929,1.357022,-0.077525,0.939075,-0.334855,-1.8925869999999998,-1.037094,-0.167101,0.053813,-0.10737999999999999,0.034638,downstairs
10,-0.288029,-1.256848,1.310357,-0.087723,0.9511219999999999,-0.296095,-1.9628709999999998,-0.6878810000000001,-0.322932,0.10798699999999999,0.133168,-0.246477,downstairs
11,-0.36079,-1.285167,1.249577,-0.099465,0.959485,-0.263621,-1.338184,-0.91756,-0.43684700000000004,0.193383,0.270542,-0.550268,downstairs
12,-0.420166,-1.2926,1.218548,-0.112022,0.9615520000000001,-0.250736,0.129679,-1.753035,-0.03669,0.510703,0.47481899999999994,-0.523694,downstairs
13,-0.386888,-1.273906,1.292922,-0.11038099999999999,0.9562510000000001,-0.270925,1.7684790000000001,-1.8918150000000002,1.012178,0.6190939999999999,0.162142,-0.23314899999999997,downstairs
14,-0.28765,-1.250825,1.4305370000000002,-0.08923400000000001,0.9492440000000001,-0.301616,1.7008619999999999,-1.38361,1.851745,0.585359,-0.03947,-0.061055,downstairs
15,-0.17003,-1.238264,1.57456,-0.055237,0.945219,-0.32173,0.610705,-0.545912,2.16566,0.377777,-0.22866599999999998,0.8183739999999999,downstairs
16,-0.10155700000000001,-1.254034,1.6527619999999998,-0.031580000000000004,0.950249,-0.30988699999999997,-1.198424,-0.460537,0.5014430000000001,0.034525,0.859383,0.92886,downstairs
17,-0.187363,-1.279514,1.568918,-0.05349299999999999,0.9578760000000001,-0.28215500000000004,-1.276074,0.251629,-1.6994810000000002,-0.122243,1.033808,1.15952,downstairs
18,-0.23088699999999998,-1.25778,1.479306,-0.070467,0.9514090000000001,-0.29975799999999997,2.572125,3.0933349999999997,-1.194475,-0.899992,0.353034,0.51625,downstairs
19,-0.21235500000000002,-1.205755,1.492219,-0.07524,0.934109,-0.34896900000000003,1.074114,-2.885524,-0.030779,-0.638704,-0.017787999999999998,-1.8882439999999998,downstairs
20,-0.325727,-1.21586,1.468955,-0.11120899999999999,0.9376690000000001,-0.329257,-1.457474,-4.755944,-0.28427800000000003,0.045062,-0.465363,0.705234,downstairs
21,-0.467758,-1.256026,1.40365,-0.139594,0.950867,-0.27634200000000003,-2.4779880000000003,-3.183385,-0.251761,0.4128020000000001,-0.371262,1.268468,downstairs
22,-0.57513,-1.280198,1.321199,-0.155854,0.958073,-0.24043,-0.925858,-0.40629099999999996,-0.511534,0.500077,0.017529,0.96214,downstairs
