Unnamed: 0,attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
0,0.8384719999999999,-0.901646,0.189667,0.461284,0.784349,-0.414745,0.127156,2.833157,-0.227154,-0.097468,-0.011766,0.079388
1,0.901238,-0.9003200000000001,0.177763,0.487205,0.7835260000000001,-0.38564,0.07683999999999999,4.1651440000000015,-0.281555,0.375618,0.492231,0.449682
2,0.993089,-0.914963,0.185652,0.5108560000000001,0.7925399999999999,-0.333025,-0.7941229999999999,3.879236,-0.488098,0.061608,0.260805,0.489626
3,1.0295299999999998,-0.921919,0.17109000000000002,0.517913,0.796763,-0.311345,0.701853,1.728788,-0.538987,-0.10797,0.133718,-0.024181
4,1.052038,-0.927877,0.15618800000000002,0.5206569999999999,0.800349,-0.29725100000000004,-0.233936,2.031018,-0.44977,-0.025372,-0.095515,0.276041
5,1.11332,-0.942199,0.162325,0.527546,0.8088529999999999,-0.259716,-0.33270500000000003,3.294765,-0.712726,-0.03899,-0.060348,0.26353000000000004
6,1.173755,-0.958119,0.140173,0.530325,0.8181109999999999,-0.222371,0.56193,4.232744,-1.089034,0.107797,0.175144,0.07294099999999999
7,1.235294,-0.974399,0.105758,0.53035,0.827365,-0.184924,0.460667,4.4611839999999985,-1.118876,0.278244,0.402311,-0.27621100000000004
8,1.309594,-0.99722,0.097554,0.524233,0.839966,-0.14013299999999998,-0.406197,3.76678,-1.212708,0.392912,0.465607,-0.12604200000000002
9,1.384298,-1.023511,0.106268,0.5113479999999999,0.8539399999999999,-0.096487,-0.515621,3.131301,-1.240432,0.468099,0.405688,0.014196
10,1.448037,-1.053365,0.11897,0.4909270000000001,0.869093,-0.060571000000000014,-0.541378,2.337842,-1.526946,0.571909,0.144396,0.345925
11,1.498329,-1.079723,0.145929,0.4703350000000001,0.881827,-0.034144,-1.096319,0.604807,-1.088494,0.4759850000000001,0.404672,0.150538
12,1.552813,-1.102495,0.209923,0.451298,0.892336,-0.008117000000000001,-1.6798369999999998,-0.4991850000000001,-1.023858,0.544322,0.178724,0.02159
13,1.5964040000000002,-1.118767,0.293737,0.436649,0.8995620000000001,0.011184,-1.92726,-2.0846310000000003,-0.730861,0.581158,0.098286,-0.296173
14,1.62864,-1.126124,0.377817,0.429443,0.902752,0.024868,-1.662218,-1.991559,-0.26018,0.568513,0.126393,-0.438519
15,1.659762,-1.125975,0.436546,0.428594,0.902688,0.038231,-0.969411,-0.469495,-0.008395,0.284235,0.018775,-0.59742
16,1.6874619999999998,-1.123664,0.4640220000000001,0.429442,0.901691,0.05033,-0.426252,0.33581700000000003,0.06273300000000001,0.07628,-0.066791,-0.705619
17,1.700861,-1.12287,0.477054,0.429439,0.901347,0.056172,-0.184709,-0.15248499999999998,-0.044981,0.025349,-0.282451,-0.553532
18,1.6822669999999995,-1.125672,0.464099,0.427898,0.902557,0.047897,0.624201,-0.430861,-0.128705,-0.072048,-0.442321,-0.31581
19,1.624808,-1.129227,0.4177770000000001,0.426735,0.904082,0.023071,1.163247,-1.016779,-0.059027,-0.268196,-0.548766,-0.370865
20,1.545807,-1.12879,0.360653,0.427621,0.903895,-0.010688,1.250901,-1.5290709999999998,0.104611,-0.285103,-0.596583,-0.337746
21,1.448461,-1.121123,0.287406,0.431423,0.900589,-0.053042999999999986,1.909033,-1.526066,0.380533,-0.205791,-0.465607,-0.06412899999999999
22,1.332877,-1.101061,0.185412,0.439899,0.8916879999999999,-0.106681,2.649438,-0.980221,0.697994,-0.149845,-0.291148,0.150016
23,1.22819,-1.067896,0.078613,0.453958,0.876188,-0.161914,2.898829,-0.340692,0.923244,-0.108743,0.128145,0.198993
24,1.148572,-1.029689,0.001295,0.46985,0.857139,-0.211077,2.17713,-0.829533,1.252114,-0.008546999999999999,0.57589,0.314257
25,1.094393,-0.980113,-0.026497000000000003,0.494915,0.8305600000000001,-0.2554,1.521763,-2.1802740000000003,2.344195,0.3046,0.8073640000000001,0.17896800000000002
